# Fields: Hash, Region, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, PrgRamSize, Battery, Mirroring, SubMapper, Title
15123896027655543771,NTSC,,,,4,16,32,0,0,true,Horizontal,0,"Wario no Mori (Japan).nes"
15127385536005847119,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Shadow of the Ninja (USA).nes"
15132371704856875176,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Rambo (USA).nes"
15140547339671224805,PAL,,,,1,8,0,1,2,true,SingleScreenA,0,"Legend of Zelda, The (Europe) (Rev A).nes"
15171819883623544646,PAL,,,,4,16,32,0,0,true,Horizontal,0,"StarTropics (Europe).nes"
15172930507833059764,PAL,,,,3,2,4,0,0,false,Vertical,0,"Athletic World (Europe).nes"
15181753250256675863,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Daiva - Imperial of Nirsartia (Japan).nes"
15191470080641463520,NTSC,,,,4,8,16,0,0,false,Vertical,0,"Chitei Senkuu Vazolder (Japan).nes"
15191529123474506425,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Kunio-kun no Nekketsu Soccer League (Japan).nes"
15199927944006100796,NTSC,,,,3,2,4,0,0,false,Horizontal,0,"Family Trainer 2 - Running Stadium (Japan).nes"
15202108631114123855,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Tiny Toon Adventures 2 - Trouble in Wackyland (USA).nes"
15204629651220900070,NTSC,,,,0,16,32,0,0,false,Horizontal,0,"Super Cartridge Ver 4 - 6 in 1 (Asia) (Unl).nes"
15210600217691212455,NTSC,,,,1,8,8,0,2,false,SingleScreenA,0,"Super Mario Bros. + Duck Hunt + World Class Track Meet (USA) (Rev A).nes"
15220466267235174440,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Pro Yakyuu Satsujin Jiken! (Japan).nes"
15224470989433847008,NTSC,,,,4,8,32,0,0,false,Horizontal,0,"Days of Thunder (USA).nes"
15233009342168649005,NTSC,,,,0,1,1,0,0,false,Horizontal,0,"Pac-Man (USA) (Tengen).nes"
